21:15:51.714 [main] INFO com.tyluur.day1.Day1Kt - Original line: '9cbncbxclbvkmfzdnldc', Replaced line: '9cbncbxclbvkmfzdnldc', Calibration value: 99
21:15:51.716 [main] INFO com.tyluur.day1.Day1Kt - Original line: 'jjn1drdffhs', Replaced line: 'jjn1drdffhs', Calibration value: 11
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: '3six7', Replaced line: '367', Calibration value: 37
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: '38rgtnqqxtc', Replaced line: '38rgtnqqxtc', Calibration value: 38
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: 'rxszdkkv3j8kjhbm', Replaced line: 'rxszdkkv3j8kjhbm', Calibration value: 38
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: '54nzzddht8ninelrkkseightseven6', Replaced line: '54nzzddht89lrkks876', Calibration value: 56
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: '6fourmnvkgnthjtnjqkr', Replaced line: '64mnvkgnthjtnjqkr', Calibration value: 64
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: 'nineninezsstmkone4sjnlbldcrj4eight', Replaced line: '99zsstmk14sjnlbldcrj48', Calibration value: 98
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: '3rdnfkvrx4twoqgeightqkgmn', Replaced line: '3rdnfkvrx42qg8qkgmn', Calibration value: 38
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: '6mlhponeglrzrvbsseven', Replaced line: '6mlhp1glrzrvbs7', Calibration value: 67
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: 'five8spgxz8', Replaced line: '58spgxz8', Calibration value: 58
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: '3three2dfourfour58', Replaced line: '332d4458', Calibration value: 38
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: '9q', Replaced line: '9q', Calibration value: 99
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: 'two45', Replaced line: '245', Calibration value: 25
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: 'five8mpkpdfiveeightfourseven', Replaced line: '58mpkpd5847', Calibration value: 57
21:15:51.717 [main] INFO com.tyluur.day1.Day1Kt - Original line: '93threefive3three92', Replaced line: '93353392', Calibration value: 92
21:15:51.718 [main] INFO com.tyluur.day1.Day1Kt - Original line: '6jdzeightnineone1sclhzrnrjxfive', Replaced line: '6jdz8911sclhzrnrjx5', Calibration value: 65
21:15:51.718 [main] INFO com.tyluur.day1.Day1Kt - Original line: '6nseven16lbztpbbzthree8five', Replaced line: '6n716lbztpbbz385', Calibration value: 65
21:15:51.718 [main] INFO com.tyluur.day1.Day1Kt - Original line: 'eight6mntljvbfrmftsffchsix4', Replaced line: '86mntljvbfrmftsffch64', Calibration value: 84
